时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2022-03-18,东岛新能源,传统制造,战略投资,未透露,基石资本,50000,传统制造、化工产业、新材料,东岛新能源是一家电池材料生产商，主要从事锂离子动力电池负极材料、正极材料、锂电池电解质材料、动力电池负极包覆材料等产品的生产，致力于为用户提供一体化的锂电池整体制造方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-17,腾远钴业,先进制造,IPO上市,54.78亿人民币,,2191200,先进制造、新材料、新材料,腾远钴业是一家钴系列产品生产商，公司主要产品包括碳酸钴、氧化钴、草酸钴、高纯硫酸钴、电池级碳酸钴、电池级四氧化三钴、阴极铜等，产品广泛应用于动力电池材料、工业催化剂等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-16,斯瑞新材,先进制造,IPO上市,4.193亿人民币,,419200,先进制造、新材料、新材料,斯瑞新材料是一家主打金属基复合新材料细分市场的技术公司，专注于铜铬电真空触头材料、铜钨系列触头材料及复合触头材料、高导高强铬锆铜系列合金材料、铜铁系列合金材料及其它特殊铜合金材料的研发和制造。,王文斌 创始人 王文斌，斯瑞新材料创始人、董事长。1991年从西安交通大学金属材料专业毕业，进入国有企业，成为一名实习技术员。短短1年时间，他就转岗成为厂办技术秘书，而后离职创立了陕西斯瑞新材料股份有限公司。 
2022-03-14,星恒电源,先进制造,战略投资,9.5亿人民币,深创投,475000,先进制造、新能源、制造业,星恒电源股份有限公司成立于2003年12月，注册资金2.62亿元人民币。公司专注于以锰酸锂为正极材料的动力锂电池的开发，生产和销售，年产能5GWh，是国内知名的动力锂电池高新技术企业。通过15年的科技成功转化，星恒已为全球800万终端用户、4.5万多辆电动汽车提供产品和服务，并为全球新能源汽车提供动力电源解决方案。,陈立泉 创始人 陈立泉，星恒技术创始人，中科院与星恒联合实验室负责人；中国工程院院士，中国唯一的电池领域院士；曾荣获国家自然科学一等奖和国家有突出贡献中青年专家称号，发表论文200余篇，申报专利60余项；在国内首先研制成功锂离子电池，建成我国第一条锂离子电池中试生产线；为我国锂电池的研究、开发和产业化群体的形成奠定了坚实的基础。 黄学杰 首席科学家 黄学杰，星恒首席科学家，星恒创始人，中国锂电池的领军人物，中国科学院物理研究所研究员；1993年毕业于荷兰Delft技术大学获博士学位，代表物理所锂离子电池研究方面在国际期刊发表多篇论文；承担“863”新材料领域“锂离子电池关键材料”项目和“863”电动汽车重大专项“车用动力型锂离子电池”项目。 
2022-03-14,聚赛龙,传统制造,IPO上市,3.586亿人民币,,143300,传统制造、化工产业、新材料,"公司主要产品为改性塑料,包括填充类改性塑料、增强类改性塑料、阻燃改性塑料、塑料合金及其它产品。改性塑料是将树脂通过物理、化学、机械的方法,改善或增加其功能,在电、磁、光、耐老化、阻燃、力学性能等方面达到特殊环境条件下使用标准的高分子复合材料。",郝源增 董事长 毕业于北京石油化工学院化学工程专业，本科学历，教授级高级工程师，广州市优秀科技专家，广州市标准化专家，全国塑料标准化技术委员会工程塑料分技术委员会（SAC/TC15/SC9）委员，全国塑料标准化技术委员会改性塑料分技术委员会（SAC/TC15/SC10）委员。1983年3月至1988年1月，就职于中石化北京燕化树脂应用研究所任助理工程师；1988年1月至1995年1月，就职于中石化北京燕化研究所任工程师兼课题组长。 
2022-03-11,海外华昇,先进制造,B轮,1亿人民币,"同创伟业（领投）, 温氏投资（领投）, 追远创投, 斯迪克",50000,先进制造、新材料、新材料,海外华昇是一家高精度微米及纳米级电子浆料研发商，主要产品：镍内电极浆料、铜端电极浆料。掌握了国际领先的制备高精度纳米级贱金属（铜、镍）电子浆料的核心技术，填补了国内空白，实现了进口替代，打破了国外企业长期以来对高端电子浆料的垄断，满足了国内多层陶瓷电容器（MLCC）企业原材料国产化的迫切需求。,陈将俊 董事长 陈将俊，海外华昇董事长。 
2022-03-10,道博新材,先进制造,战略投资,未透露,"中信证券, 中科创星",50000,先进制造、新材料、新材料,道博新材是一家复合材料研发商，集复合材料研发、生产、销售和服务于一体，以复合材料成型关键技术为基础，开展航空复合材料复杂构件设计、模具设计、生产工程化及专用装备业务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-10,中体新材,先进制造,A轮,千万级人民币,云松投资,5000,先进制造、新材料、新材料,中体新材是一家3D打印铝合金粉末材料供应商，公司产品包括铁基粉末、铝基粉末、镍基粉末、钴基粉末、钛基粉末、铜基粉末等，能够满足选区激光烧结（SLS）、直接金属激光成形（DMLS）、选区激光熔化（SLM）、电子束熔化（EBM）、激光熔敷沉积（LMD），粉末粘接（Bind Jetting)等多种3D打印技术以及注射成型，粉末冶金等方面的应用，拥有多条全自动3D打印雾化生产系统，可提供增材制造用粉达3500吨。此外公司研发了纳米合金粉、新能源材料粉、轻量化材料粉、液态金属等高新技术产品，并申请了众多相关专利。,沈宝祥 CEO 沈宝祥，中体新材CEO。 
2022-03-09,芜湖佳纳能源,先进制造,战略投资,14.7亿人民币,"芜湖科投, 前湾基金, 安泰基金, 银湖实业",1154846,先进制造、新材料、大公司新产品,芜湖佳纳能源是道氏技术旗下锂电材料三元前驱体业务的运营公司，主要做三元前驱体及其配套业务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-08,协鑫能科,先进制造,IPO上市后,37.65亿人民币,"财通基金, 中信证券, JPMorgan摩根大通, 诺德基金, 广发证券, 博芮投资, 蜀道集团, 贵阳产控集团, 创朴新材料, 兴联城投资, 信达慧理财, 银河资本, 扬子江船业",1882500,先进制造、新能源、新材料,协鑫能科是一家移动能源服务商，系协鑫（集团）控股有限公司旗下控股企业。公司聚焦换电站一体化解决方案、换电站运营及能源服务、电池梯次利用三大业务。为用户提供清洁能源生产的电、热、冷等能源产品，同时稳步开展综合能源服务，为用户提供配售电、储能、能效管理、能源大数据等服务，独创“源-网-售-用-云”能源互联新模式，为用户提供智慧能源服务及一体化综合能源解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
