时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2022-03-21,硅心科技,智能硬件,A轮,数千万人民币,高瓴创投,15000,智能硬件、机器人、机器人,硅心科技是一家AI虚拟编程机器人研发商，旗下开发有“aiXcoder智能编程机器人”，基于深度学习模型，并针对不同的专业领域和编程语言，能够自动预测程序员的编程意图，向用户推荐即将书写的下一段代码，进而提升代码的编写效率。,李大钧 董事长 李大钧，董事长，具有多年相关行业经验。 
2022-03-20,Rokid若琪,智能硬件,C轮,7亿人民币,,700000,智能硬件、机器人、机器人,"Rokid公司成立于 2014年7月，位于中国杭州, 在北京和旧金山设有分公司，是一家以技术为基础、致力于Home A.I 领域研究、追求极致工艺和用户体验、坚持创新原则的初创公司。产品涵盖AR眼镜、智能音箱，以及相应的应用与服务，结合人工智能和深度学习，革新性的人机交互和精美的工艺，期望把前所未有的科技体验带入家庭。","祝铭明(Misa) 创始人&CEO 祝铭明(Misa)，Rokid创始人&CEO，前阿里巴巴 M 工作室领头人，负责深度学习，视觉和自然语言处理的研发。 王舜德Eric 联合创始人&CFO 王舜德Eric，Rokid联合创始人&CFO，前金山软件和好孩子集团的 CFO, 前阿里巴巴集团的财务副总裁兼公司财务总监。 "
2022-03-16,智同精密,智能硬件,战略投资,数亿人民币,"亦庄国投, 京城股份, 智友科学家基金, 恩利资本, 慧眼资本, 建发基金, 沿海基金, 瑞策资本, 欣柯资本",150000,智能硬件、机器人、机器人,"智同精密是一家机器人减速器生产商，致力于面向全球机器人及其他制造商提供标准化减速机产品，并提供机器人用高精密减速机的研发、定制与升级服务。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-15,快手哥,智能硬件,Pre-A轮,数千万人民币,亿尚景基金,15000,智能硬件、机器人、机器人,快手哥是专注于垃圾分类机器人研发的高科技公司。以领先的人工智能加速技术和高端传感技术，实现了智能测控分选机器人对废旧塑料、工业垃圾、生活垃圾、建筑垃圾、废旧汽车、RDF、矿石等各种垃圾的超高速分选和回收再利用，使垃圾变废为宝，实现再生资源价值的最大化。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2022-03-15,赫特智慧,智能硬件,A轮,数千万人民币,"小米集团, 顺为资本",15000,智能硬件、机器人、机器人,赫特智慧是一家智能清洁机器人研发生产商，专注于向C端家庭用户提供便捷智能的立面清洁产品，主要产品为智能擦窗机器人。公司致力于研究家庭环境立面清洁需求，力求用高品质产品为全球消费者提供优秀的智能清洁服务。,宋宏超 创始人 连续创业者，此前曾是福玛特的联合创始人。 
2022-03-14,翼菲自动化,智能硬件,D轮,数亿人民币,"春华资本Primavera（领投）, 清控银杏创投, 宽带资本CBC",150000,智能硬件、机器人、机器人,翼菲自动化是一家集工业机器人研发和制造、控制系统开发、自动化系统等集成于一体的综合自动化高新技术企业。专注于轻量级高速工业机器人研发，目前已拥有并联机器人、SCARA机器人、小六轴机器人等轻量级高速全系列工业机器人产品，其中自主研发生产的迅翼系列高速并联机器人填补国内空白，多项性能均优于国内外同类产品，实现了高性能工业机器人本土产业化，打破了国外产品对于国内市场的垄断。注重多领域拓展高速轻量级机器人的柔性应用，为3C电子、新能源、物流、食品、制药、日化等行业龙头企业的智能化产线迭代赋能，是少数几个进入世界500强企业供应商名录的中国机器人本体品牌公司，客户覆盖全国50多座城市，出口10余个国家和地区，市场占有率位于国内前列。,张赛 董事长 张赛，翼菲自动化科技董事长兼COO。清华大学学士、美国哥伦比亚大学硕士，曾任香港上市公司震雄集团高级工程师和生产主管。 孙同亮 董事兼研发总监 2013年毕业于山东大学。 张健(已离职) 原CEO 张健，济南翼菲自动化科技联合创始人、CEO。美国哥伦比亚大学硕士、博士，曾参与第四代“达芬奇”手术机器人研发，拥有硅谷成功创业经验。 
2022-03-14,龙测科技,企业服务,A轮,数千万人民币,,15000,企业服务、企业IT服务、机器人,龙测科技是一家专注于一站式软件自动化测试的工具提供商，对于UI功能测试，提出AI+机器人+模型（ARM）技术来构建稳定快速的测试工具。即AI学习生成业务流程图，测试用户进而组合流程图成为积木图，进而机器人通过视觉和机械化方式稳定执行。因此能快速、高效、低成本的完成.EXE应用程序、Web、安卓应用、小程序、混合应用的自动化UI功能测试。,师江帆 CEO 师江帆，苏州市龙测智能科技有限公司CEO 
2022-03-11,艾利特,智能硬件,C轮,数亿人民币,"达晨财智（领投）, 尚珹资本（领投）, 坤言资本",340000,智能硬件、机器人、机器人,艾利特是一家以研发为核心，集生产、销售、售后服务于一体的机器人企业，艾利特在机器人核心部件控制系统/伺服驱动系统、智能视觉系统、协作机器人的研发和生产均处于国内领先地位，其中机器人控制技术及智能视觉技术已处于国际领先水平。致力为用户提供基于共平台控制能力的协作机器人产品，坚持性能比肩国外品牌的策略，为用户提供高成本效益的解决方案。目前艾利特机器人在多个行业中已获得了积极的用户口碑。,曹宇男  执行董事 曹宇男，为北京艾利特科技有限公司创始人 
2022-03-10,上海深视科技,智能硬件,A轮,未透露,"创世伙伴资本, 顺为资本, 苏高新创投",10000,智能硬件、机器人、机器人,上海深视科技是一家工业AI视觉产品与解决方案公司，是一家将计算机视觉技术及深度学习技术应用于工业领域的创新型科技公司。深视科技主要为制造业领域企业提供产品外观瑕疵检测整体解决方案，帮助企业提升产品良品率及生产效率。,李扬 CEO 李扬，上海深视信息科技有限公司创始人、CEO。毕业于浙江大学，曾就职于腾讯、英特尔等公司。 
2022-03-10,ROBOX,智能硬件,战略投资,200万欧元,埃夫特EFORT,17331.6,智能硬件、机器人、机器人,ROBOX公司是一家工业机器人的控制器生产商，主要为机器人和运动控制系统设计和生产电子控制器和编程语言等。其所持有的产品可以应对各种应用程序，从最简单(一个或两个控制轴)到最复杂(几十个控制轴)都可以在ROBOX得到实现。产品可用于各种机器人、机床、测量机、食品机械、木材机械、玻璃机器、纺织机、造纸、包装的设备。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
